listing_ID,town,est_rental_revenue_median,estimated_ADR,Est_adj_occupancy,active_days,booking_window,length_of_stay,dynamic_pricing,min_stay,management,Bedrooms,bathrooms,max_guests,listed_price,is_active,economic_Category,blocked_days,rating,Num_Reviews,beachfront,hot_tub,EV_charger,kitchen,pool,pets_allowed,smoking_allowed
45339072,Southend-on-sea,21224,118.57,50,355,17,16,None,2,Individual,3,1,5,185,Yes,Midscale,11,4.93,71,No,No,No,Yes,No,Yes,No
42826355,Southend-on-sea,21339,101.62,74,283,39,13,High,2,Large,3,2,8,125,No,Midscale,25,4.2,51,No,No,No,Yes,No,No,No
1165563063030799012,Southend-on-sea,21369,121.41,58,304,11,8,None,2,Small,3,1,5,175,Yes,Midscale,43,5,4,No,No,No,Yes,No,No,No
52593671,Southend-on-sea,21439,68.06,94,336,230,36,Moderate,3,Individual,3,1,4,84,Yes,Midscale,30,4.97,39,No,No,No,Yes,No,No,No
1252679347967690012,Southend-on-sea,21671,157.03,68,204,4,3,High,1,Large,3,1,10,190,Yes,Upscale,7,4.42,0,No,No,No,Yes,No,Yes,No
796888330384267928,Southend-on-sea,22112,127.82,79,218,41,6,None,2,Moderate,3,2,7,169,No,Midscale,12,4.13,8,No,No,No,Yes,No,Yes,No
907640391788655964,Southend-on-sea,22919,111.26,65,316,9,16,None,1,Individual,3,1.5,7,122,No,Midscale,18,4.93,29,No,No,No,Yes,No,No,No
643246721446441375,Southend-on-sea,23029,103.73,76,294,10,20,High,3,Moderate,3,1,6,106,Yes,Midscale,72,4.66,35,No,No,No,Yes,No,No,No
52560012,Southend-on-sea,24886,126.97,92,212,7,21,Low,5,Small,3,3,5,179,Yes,Midscale,154,4.91,11,No,No,No,Yes,No,No,No
31579095,Southend-on-sea,24909,161.75,44,353,44,3,Low,2,Individual,3,1,4,175,Yes,Upscale,13,4.85,154,No,No,No,Yes,No,Yes,No
816716658733322095,Southend-on-sea,25121,137.27,55,331,4,9,High,2,Moderate,3,2,7,174,Yes,Midscale,35,4.67,3,No,No,No,Yes,No,Yes,No
889974389147743372,Southend-on-sea,25176,106.23,81,292,14,21,High,7,Small,3,1,5,156,Yes,Midscale,74,4.76,25,No,No,No,Yes,No,Yes,No
51274356,Southend-on-sea,25284,89.34,79,356,23,11,Low,2,Small,3,2.5,6,115,Yes,Midscale,10,4.46,46,No,No,No,Yes,No,No,No
856194032291182662,Southend-on-sea,26363,162.73,49,329,16,6,High,2,Small,3,1.5,8,144,Yes,Upscale,37,4.68,53,No,No,No,Yes,No,Yes,No
1228308987043205578,Southend-on-sea,26958,158.58,70,242,18,10,High,3,Small,3,2,9,187,Yes,Upscale,20,5,9,No,No,No,Yes,No,Yes,No
17716461,Southend-on-sea,27132,100.12,75,363,125,6,Moderate,2,Individual,3,1,6,113,Yes,Midscale,3,4.9,367,No,No,No,Yes,No,No,No
937684189929284139,Southend-on-sea,28693,149.44,78,247,63,10,Low,2,Individual,3,3,6,169,No,Upscale,49,4.86,42,No,No,No,Yes,No,No,No
935564272872740602,Southend-on-sea,29418,105.44,81,344,8,13,High,2,Individual,3,1,7,136,Yes,Midscale,22,5,22,No,No,No,Yes,No,Yes,No
1046348142431164099,Southend-on-sea,30007,126.61,68,351,70,4,High,2,Small,3,1,6,128,Yes,Midscale,15,4.51,37,No,No,No,Yes,No,Yes,No
724584865988857229,Southend-on-sea,30599,110.86,80,344,69,3,High,2,Individual,3,1,6,114,Yes,Midscale,22,4.76,83,No,No,No,Yes,No,Yes,No
1162316285386464982,Southend-on-sea,30749,189.81,50,322,27,4,High,2,Small,3,1,6,169,Yes,Upscale,25,4.93,44,No,No,No,Yes,No,Yes,No
1112366982467388411,Southend-on-sea,30931,156.22,62,319,35,4,Low,1,Small,3,1.5,9,187,Yes,Upscale,33,4.1,20,No,No,No,Yes,No,Yes,No
1117404407981528683,Southend-on-sea,32427,141.6,76,302,8,3,Low,3,Individual,3,1,5,189,Yes,Upscale,64,5,2,No,No,No,Yes,No,No,No
982577895642171577,Southend-on-sea,33702,143.41,75,313,93,9,Moderate,4,Small,3,3,6,175,Yes,Upscale,53,4.94,32,No,No,No,Yes,No,No,No
874042784289822441,Southend-on-sea,36132,128.58,80,352,15,17,High,4,Moderate,3,1.5,6,200,No,Midscale,7,4,1,No,No,No,No,No,No,No
49002632,Southend-on-sea,38683,120.13,89,360,35,30,High,3,Large,3,1,11,135,Yes,Midscale,6,3.65,20,No,No,No,Yes,No,No,No
871004285945360987,Southend-on-sea,39794,174.54,68,336,88,6,High,1,Moderate,3,2,9,162,Yes,Upscale,30,4.55,75,No,No,No,Yes,No,Yes,No
862648858668947328,Southend-on-sea,43503,211.18,58,353,67,13,None,1,Individual,3,3,6,256,Yes,Upscale,13,5,77,No,No,No,Yes,No,Yes,No
989743900078909780,Southend-on-sea,48560,202.33,81,297,35,15,High,3,Individual,3,2.5,6,239,Yes,Upscale,69,4.63,30,No,No,No,Yes,No,No,No
872913740243580186,Southend-on-sea,51017,147.45,98,352,75,18,None,1,Individual,3,3,6,198,Yes,Upscale,14,5,23,No,No,Yes,Yes,No,No,No
39547046,Southend-on-sea,60224,176.61,93,366,6,3,None,6,Individual,3,2.5,6,236,Yes,Upscale,0,5,1,No,No,No,Yes,No,Yes,No
1017439078985057005,Chelmsford,0,N/A,0,48,N/A,N/A,None,1,Small,3,2,6,219,No,N/A,141,5,0,No,No,No,Yes,No,No,No
764686497385323534,Chelmsford,0,N/A,0,303,N/A,N/A,None,2,Moderate,3,2,10,144,Yes,N/A,63,3,2,No,No,No,Yes,No,No,No
1193444637027116894,Chelmsford,977,108.53,11,85,0,5,None,2,Small,3,1,5,127,Yes,Midscale,208,5,2,No,No,No,Yes,No,No,No
907022694726479173,Chelmsford,1180,196.68,2,365,37,4,None,2,Individual,3,2,8,266,Yes,Upscale,1,N/A,0,No,No,Yes,Yes,No,No,No
1345605008118095012,Chelmsford,1415,70.76,41,49,2,14,Unknown,1,Unknown,3,1,6,119,Yes,Economy,30,5,1,No,No,No,Yes,No,Yes,No
1243609541897394752,Chelmsford,1754,146.17,41,29,0,4,High,3,Small,3,1,5,180,Yes,Upscale,178,5,1,No,No,No,Yes,No,No,No
1335513231445648229,Chelmsford,1904,119.01,13,119,0,16,None,28,Moderate,3,1,9,143,Yes,Midscale,0,N/A,0,No,No,No,Yes,No,Yes,No
608528735257770176,Chelmsford,2903,116.1,8,306,2,4,None,3,Small,3,1,6,149,Yes,Midscale,60,5,4,No,No,No,Yes,No,No,No
1227599699840559683,Chelmsford,3603,105.96,33,104,1,7,High,2,Individual,3,1,7,128,No,Midscale,24,5,2,No,No,No,Yes,No,No,No
1256415897331779013,Chelmsford,3987,153.33,24,110,14,3,None,2,Small,3,1,6,188,No,Upscale,34,0,0,No,No,No,Yes,No,No,No
905778528092429679,Chelmsford,5488,130.66,23,184,56,2,None,1,Small,3,2,6,146,Yes,Midscale,182,4.43,7,No,No,No,Yes,No,Yes,Yes
1311505393133042249,Chelmsford,5761,144.02,98,41,6,40,None,4,Individual,3,1.5,6,167,No,Upscale,18,N/A,0,No,No,No,No,No,No,No
1017398824573241657,Chelmsford,6796,111.41,97,63,92,3,Moderate,1,Individual,3,2.5,5,113,No,Midscale,52,4.71,59,No,No,No,Yes,No,Yes,No
1140298507034705910,Chelmsford,9202,143.78,85,75,7,4,Unknown,1,Unknown,3,2,6,169,No,Upscale,49,5,10,No,No,No,Yes,No,Yes,Yes
1294855581091554615,Chelmsford,10029,133.72,79,95,22,9,High,3,Moderate,3,1,9,160,Yes,Midscale,36,4.67,6,No,No,No,Yes,No,Yes,No
1297702317779357478,Chelmsford,10342,149.89,50,139,18,5,Moderate,3,Individual,3,1,8,159,Yes,Upscale,20,4.94,16,No,No,No,Yes,No,Yes,No
1061780014847046249,Chelmsford,10777,163.29,25,268,22,2,Low,1,Individual,3,2,6,195,Yes,Upscale,31,4.94,16,No,No,No,Yes,No,No,No
1294374861917925009,Chelmsford,11066,115.27,70,138,24,10,Moderate,2,Small,3,2,7,133,Yes,Midscale,21,4.8,5,No,No,No,Yes,No,No,No
1152145711451753727,Chelmsford,11415,121.43,82,115,20,28,Low,2,Individual,3,1,6,195,Yes,Midscale,250,5,5,No,No,No,Yes,No,No,No
1141335952132355992,Chelmsford,12815,123.22,49,214,34,29,Low,2,Individual,3,2,5,152,Yes,Midscale,150,5,17,No,No,No,No,No,No,No
738098291482888572,Chelmsford,14547,114.55,63,201,15,23,High,4,Large,3,2.5,6,166,No,Midscale,135,4.75,4,No,No,No,Yes,No,Yes,No
54262751,Chelmsford,14976,129.11,37,316,3,8,None,2,Small,3,1,6,184,Yes,Midscale,50,4.67,18,No,No,No,Yes,No,No,No
44114513,Chelmsford,15378,160.18,41,237,30,6,None,3,Individual,3,2,5,169,Yes,Upscale,129,4.92,89,No,No,No,Yes,No,No,No
626888846969175367,Chelmsford,16256,107.65,98,154,99,10,None,1,Individual,3,2,3,149,No,Midscale,103,0,0,No,No,No,Yes,No,Yes,No
1177975971633464257,Chelmsford,16956,116.94,58,251,16,27,None,2,Moderate,3,1,5,146,Yes,Midscale,77,4.46,0,No,No,No,Yes,No,No,No
43101051,Chelmsford,17131,188.25,36,251,58,4,None,2,Small,3,1,8,236,No,Upscale,10,4.93,42,No,No,No,No,No,No,No
612817386238643408,Chelmsford,17473,120.5,74,197,7,30,High,7,Large,3,2.5,6,177,No,Midscale,93,4.76,17,No,No,No,Yes,No,Yes,No
34701242,Chelmsford,17872,107.66,68,243,46,3,Low,2,Individual,3,1,5,131,Yes,Midscale,123,4.79,112,No,No,No,Yes,No,Yes,No
1081041908753901502,Chelmsford,19496,98.97,75,263,12,14,High,2,Large,3,1.5,5,153,Yes,Midscale,103,4.83,6,No,No,No,No,No,Yes,No
39248180,Chelmsford,19595,114.59,49,347,6,30,None,2,Moderate,3,2,5,200,Yes,Midscale,9,5,4,No,No,No,Yes,No,No,No
858777216302467744,Chelmsford,19982,119.65,84,200,30,36,Moderate,10,Small,3,1.5,6,187,Yes,Midscale,166,4.75,8,No,No,No,Yes,No,Yes,No
